Onboard time,GSP start,GSP end,Duration [orbit],OBS type,OBS Num,SVOM_OBSDB_ID,RA [deg],DEC [deg],Q0,Q1,Q2,Q3,Comments,Conf MXT,Conf ECLAIRs,"Exposure time VT 
(5 to 400 seconds)","Windowsize VT 
(300 to 770 pixels square)","VT Interval between 2 images 
(0, 1, or 2 times exposure time)","VT Read speed 
(1, 2, 3, or 4)","VT read channel 
(0: left, 1 right, 2: left& right)","VT cleaning 
(0: no 1: yes)","Requested observation 
duration [seconds]",AngZ,AngY,AngX,Sun angle,Moon angle (pos_sat = 0),AngleSun_Y+,AngleSun_Y-,AngleSun_Z-,"Sun angle 
OnBoard","Moon angle
OnBoard","AngleSun_Y+
OnBoard","AngleSun_Y-
OnBoard","AngleSun_Z-
OnBoard",MOON_CHECK,Stability Mode,ATTRIBUTE,PRIORITY_LEVEL,COMBINED_OBSERVATION
02/01/2022 03:25:17,17,29,12,GP-PPT,16,GP_67,80.5376,-26.524,0.308841717,0.691494884,0.652268514,-0.031581714,,FILTER,DEFAULT,15,300,0,1,0,0,30742,80.5376,26.524,154.4484,126.0579,124.0582,90,90,143.9421,126.1987,125.8509,90.3292,89.6708,143.7993,VT,HIGH,,,
02/01/2022 22:49:29,29,39,10,GP-PPT,17,GP_154,53.3241,37.3278,0.520526633,0.68302819,0.081338882,0.505873998,,FILTER,DEFAULT,400,500,0,1,1,0,24407,53.3241,-37.3278,86.1268,134.7384,129.525,90,90,135.2616,134.9909,134.1404,89.8552,90.1448,135.0088,VT,HIGH,NON-B1,A,
03/01/2022 15:00:49,39,54,15,GP-PPT,18,53,86.0663,59.1359,0.535905446,0.48000199,-0.207064188,0.662968977,,FILTER,DEFAULT,5,300,0,1,1,0,35636,86.0663,-59.1359,27.8833,141.3609,135.2938,90,90,128.6391,141.4998,139.696,89.5584,90.4416,128.4967,VT,HIGH,NON-B1,A,
04/01/2022 15:17:49,54,64,10,GP-PPT,19,188,121.0383,5.1013,0.200840908,-0.450420485,-0.826961577,0.270034934,,FILTER,DEFAULT,150,300,0,1,0,0,25817,121.0383,-5.1013,219.0529,156.8412,156.4116,90,90,113.1588,156.6392,158.8076,90.2105,89.7895,113.3597,VT,HIGH,NON-B1,A,
05/01/2022 07:23:15,64,74,10,GP-PPT,20,221,113.1638,-13.5237,0.046510558,0.553723324,0.819122685,-0.142356159,,FILTER,DEFAULT,15,1200,1,2,2,1,23938,113.1638,13.5237,190.7712,143.2085,132.759,90,90,126.7915,143.1445,135.2131,90.2893,89.7107,126.854,VT,HIGH,NON-B1,A,
05/01/2022 23:40:26,74,75,1,GP-PPT,21,126,158.037,29.719,0.309632778,0.037526173,-0.726302653,0.612538803,,FILTER,DEFAULT,400,300,1,2,1,0,2400,158.037,-29.719,266.1808,133.6583,166.1776,90,90,136.3417,133.6598,166.1291,90.0329,89.9671,136.3402,VT,HIGH,,,
06/01/2022 01:17:34,75,77,2,GP-PPT,22,49,155.8769,19.8655,0.260350755,-0.055117128,-0.774186825,0.574294651,,FILTER,DEFAULT,300,500,1,2,2,0,3898,155.8769,-19.8655,257.4222,134.298,176.0239,90,90,135.702,134.2736,176.0035,90.0241,89.9759,135.7264,VT,HIGH,B1,,
06/01/2022 04:32:23,77,86,9,GP-PPT,23,193,135.6783,-48.2272,0.28693208,0.423519246,0.785481343,-0.348310909,,FILTER,DEFAULT,5,300,1,2,2,0,24390,135.6783,48.2272,207.1644,104.7548,114.0602,90,90,165.2452,104.6686,113.7082,90.2445,89.7555,165.3293,VT,HIGH,NON-B1,A,
06/01/2022 19:02:00,86,93,7,GP-PPT,24,29,70.9395,28.9653,0.46921491,0.650150732,0.241427774,0.546675427,,FILTER,DEFAULT,15,500,1,2,2,0,17165,70.9395,-28.9653,87.5085,146.3712,90.0972,90,90,123.6288,146.5557,93.4084,89.9295,90.0705,123.4443,VT,HIGH,NON-B1,A,
07/01/2022 06:33:51,93,99,6,GP-PPT,25,93,54.1338,32.2986,0.50017672,0.705297213,0.144370232,0.481182218,,FILTER,DEFAULT,400,300,1,4,0,1,13463,54.1338,-32.2986,92.4799,131.4763,71.5254,90,90,138.5237,131.6145,74.1291,89.9252,90.0748,138.3854,VT,HIGH,NON-B1,A,
